,Feature1,Feature2,Feature3,Feature4,Target
0,0.00699,0.000877,0.451,0.994,1
1,0.00736,0.00137,0.549,0.998,2
2,0.00687,0.00142,0.58,0.992,2
3,0.00752,0.00252,0.737,0.996,0
4,0.00685,0.00091,0.464,0.992,1
5,0.00667,0.000991,0.491,0.994,1
6,0.00705,0.00111,0.505,0.995,1
7,0.00866,0.00222,0.645,0.993,0
8,0.00779,0.00167,0.59,0.997,0
9,0.00758,0.00211,0.672,0.999,0
10,0.00785,0.0017,0.593,0.996,0
11,0.00765,0.00106,0.474,0.996,1
12,0.00792,0.00197,0.636,0.995,0
13,0.00749,0.00221,0.691,0.998,0
14,0.0072,0.00208,0.684,0.997,0
15,0.00675,0.001,0.491,0.991,1
16,0.00768,0.00213,0.671,0.998,0
17,0.00825,0.00194,0.618,0.999,0
18,0.0065,0.00151,0.614,0.995,2
19,0.00721,0.00189,0.653,0.996,0
20,0.00808,0.00206,0.643,0.998,0
21,0.00733,0.0017,0.613,0.995,2
22,0.00645,0.00137,0.588,0.995,2
23,0.00818,0.00242,0.692,0.997,0
24,0.0062,0.00102,0.517,0.998,1
25,0.00711,0.00214,0.699,0.998,0
26,0.00654,0.00175,0.658,0.997,2
27,0.0072,0.000957,0.464,0.988,1
28,0.00686,0.00161,0.617,0.994,2
29,0.00645,0.00145,0.604,0.995,2
30,0.00847,0.00187,0.598,1.0,0
31,0.00754,0.00258,0.745,0.999,0
32,0.00881,0.00245,0.672,0.993,0
33,0.00681,0.00172,0.641,0.998,2
34,0.0072,0.00143,0.568,0.995,2
35,0.00667,0.00211,0.716,0.996,2
36,0.00761,0.002,0.653,0.998,0
37,0.00723,0.00173,0.623,0.997,2
38,0.00669,0.00155,0.614,0.991,2
39,0.00644,0.00182,0.676,0.996,2
40,0.00871,0.00234,0.66,0.999,0
41,0.00687,0.00172,0.636,0.997,2
42,0.00654,0.00163,0.635,0.996,2
43,0.00564,0.00108,0.556,0.987,2
44,0.00781,0.00256,0.729,0.999,0
45,0.00668,0.00157,0.617,0.996,2
46,0.00866,0.00229,0.654,0.998,0
47,0.00766,0.00182,0.621,0.994,0
48,0.0076,0.00229,0.699,0.998,0
49,0.00712,0.00215,0.7,0.999,0
50,0.00765,0.0025,0.728,0.998,0
51,0.007,0.00102,0.486,0.994,1
52,0.00857,0.00209,0.629,0.995,0
53,0.00852,0.00198,0.613,0.998,0
54,0.00659,0.00116,0.534,0.989,1
55,0.00795,0.00215,0.662,0.996,0
56,0.00742,0.00238,0.721,0.998,0
57,0.00764,0.0021,0.668,0.999,0
58,0.00786,0.00242,0.707,0.998,0
59,0.00777,0.00256,0.731,0.999,0
60,0.00671,0.0017,0.641,0.998,2
61,0.00665,0.00172,0.648,0.995,2
62,0.00685,0.00216,0.716,0.998,0
63,0.00664,0.00171,0.647,0.994,2
64,0.00783,0.00261,0.735,0.997,0
65,0.00653,0.00116,0.537,0.993,1
66,0.0076,0.00246,0.724,0.996,0
67,0.00743,0.00176,0.62,0.992,2
68,0.00752,0.00214,0.679,0.997,0
69,0.00666,0.0017,0.643,0.995,2
70,0.00681,0.00105,0.501,0.995,1
71,0.00774,0.000985,0.454,0.993,1
72,0.00649,0.00136,0.583,0.998,2
73,0.00676,0.00166,0.63,0.995,2
74,0.00661,0.00201,0.702,0.996,2
75,0.00661,0.00217,0.729,0.994,2
76,0.00798,0.00162,0.574,0.997,0
77,0.00713,0.000954,0.466,0.989,1
78,0.00779,0.00112,0.482,0.992,1
79,0.00741,0.00235,0.716,0.994,0
80,0.00748,0.00213,0.68,0.998,0
81,0.0066,0.00158,0.623,0.996,2
82,0.0072,0.00102,0.48,0.994,1
83,0.00811,0.00245,0.7,0.996,0
84,0.00826,0.00238,0.684,0.999,0
85,0.00691,0.00196,0.678,0.997,2
86,0.00671,0.00144,0.591,0.995,2
87,0.00807,0.00203,0.639,0.996,0
88,0.00739,0.00102,0.472,0.99,1
89,0.00835,0.00228,0.666,0.998,0
90,0.0077,0.0022,0.681,0.99,0
91,0.00701,0.000968,0.473,0.991,1
92,0.00829,0.00221,0.657,0.997,0
93,0.00793,0.00129,0.514,0.991,1
94,0.008,0.00181,0.605,0.997,0
95,0.00798,0.00257,0.723,0.999,0
96,0.00709,0.002,0.677,0.997,0
97,0.00706,0.000973,0.473,0.996,1
98,0.0063,0.00129,0.576,0.993,2
99,0.00666,0.00105,0.505,0.992,1
100,0.00697,0.00121,0.53,0.991,1
101,0.00763,0.002,0.651,0.998,0
102,0.00756,0.00213,0.676,0.996,0
103,0.00802,0.00198,0.633,0.998,0
104,0.0065,0.00203,0.712,0.995,2
105,0.00869,0.00229,0.654,0.996,0
106,0.00755,0.00152,0.571,0.997,2
107,0.0074,0.00222,0.697,0.998,0
108,0.00721,0.00201,0.672,0.999,0
109,0.00725,0.00142,0.564,0.999,2
110,0.00693,0.00199,0.681,0.996,2
111,0.0064,0.00167,0.651,0.997,2
112,0.00766,0.00181,0.619,0.994,0
113,0.00656,0.00177,0.662,0.997,2
114,0.00841,0.0023,0.666,0.997,0
115,0.00645,0.00146,0.605,0.996,2
116,0.00777,0.00299,0.789,0.997,0
117,0.00629,0.00193,0.704,0.99,2
118,0.00801,0.0021,0.652,0.998,0
119,0.00764,0.00209,0.666,0.999,0
120,0.00727,0.00203,0.673,0.998,0
121,0.00617,0.00198,0.721,0.998,2
122,0.00725,0.00161,0.599,0.992,2
123,0.00652,0.00158,0.627,0.993,2
124,0.00598,0.00187,0.711,0.992,2
125,0.00814,0.00223,0.666,0.996,0
126,0.00648,0.00152,0.617,0.995,2
127,0.0073,0.00173,0.619,0.998,2
128,0.00888,0.00212,0.623,0.999,0
129,0.00767,0.00102,0.465,0.991,1
130,0.00739,0.00175,0.62,0.997,0
131,0.00631,0.000958,0.496,0.995,1
132,0.0078,0.00113,0.486,0.988,1
133,0.00716,0.00202,0.676,0.998,0
134,0.00764,0.00236,0.708,0.995,0
135,0.00751,0.000951,0.453,0.991,1
136,0.00762,0.00224,0.691,0.999,0
137,0.00682,0.000987,0.484,0.996,1
138,0.00711,0.00178,0.637,0.995,2
139,0.00757,0.001,0.464,0.992,1
140,0.00696,0.000923,0.464,0.997,1
141,0.00621,0.00153,0.632,0.994,2
142,0.00805,0.00261,0.725,0.998,0
143,0.0067,0.00245,0.77,0.992,0
144,0.00709,0.00174,0.63,0.993,2
145,0.0068,0.00191,0.674,0.997,2
146,0.00755,0.0016,0.585,0.995,2
147,0.00658,0.00213,0.725,0.999,2
148,0.00782,0.00202,0.647,0.997,0
149,0.00791,0.000905,0.431,0.989,1
150,0.00647,0.000985,0.497,0.997,1
151,0.00697,0.00176,0.641,0.995,2
152,0.00837,0.00201,0.623,0.996,0
153,0.0076,0.00183,0.625,0.993,0
154,0.00822,0.00266,0.724,0.998,0
155,0.00639,0.0015,0.616,0.991,2
156,0.0083,0.00199,0.623,0.998,0
157,0.00775,0.00195,0.639,0.998,0
158,0.00699,0.000965,0.473,0.991,1
159,0.00686,0.00181,0.654,0.995,2
160,0.00729,0.00133,0.545,0.986,1
161,0.0068,0.00151,0.601,0.992,2
162,0.00653,0.00207,0.716,0.998,2
163,0.00734,0.00173,0.618,0.998,0
164,0.00682,0.00182,0.657,0.997,2
165,0.00772,0.00157,0.574,0.99,2
166,0.007,0.00178,0.641,0.998,2
167,0.00773,0.00208,0.66,0.995,0
168,0.00666,0.000997,0.492,0.99,1
169,0.00756,0.00184,0.628,0.991,0
